"DP_Name","TP_Name","EdgeID",Vertical,"Sub Vertical",City,State,"Server Type","Sub Server Type",Reach,"No of Aps",Capex,Opex,"Deal Value","Deal Term",Revenue,"Budget for Ops","Budget for Connectivity","Actual spends on connectivity",Active
CMRL,"Train no.146",7e623b,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.149",230b71,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.145",3d9ca1,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.148",cc5ecb,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.147",b158f3,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.144",a7ff62,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.150",d04f60,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.127",043f29,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.118",a87610,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
CMRL,"Train no.138",c497b2,"Private Transport",Metro,NULL,NULL,Mobile,kontronMetro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NMMT,MH43H5135,bb939f,"Public Transport","City Bus",NULL,NULL,Mobile,C2C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
